,Date,Close,Bitcoins_in_circulation,BlockSize,TransactionsPerBlock
412,7-Apr-11,0.77,5860450.0,15.0,12.0
413,9-Apr-11,0.77,5876200.0,15.0,18.0
414,11-Apr-11,0.78,5892300.0,15.0,11.0
415,13-Apr-11,1.0,5910700.0,15.0,17.0
416,15-Apr-11,1.09,5925600.0,16.0,22.0
417,17-Apr-11,1.09,5942850.0,17.0,13.0
418,19-Apr-11,1.19,5957700.0,18.0,15.0
419,21-Apr-11,1.2,5973150.0,19.0,14.0
420,23-Apr-11,1.55,5990300.0,19.0,22.0
421,25-Apr-11,1.7,6007600.0,21.0,21.0
422,27-Apr-11,1.95,6026750.0,23.0,14.0
423,29-Apr-11,2.7,6044800.0,25.0,15.0
424,1-May-11,4.09,6063850.0,27.0,16.0
425,3-May-11,3.49,6083100.0,29.0,13.0
426,5-May-11,3.5,6103800.0,31.0,15.0
427,7-May-11,3.7,6124700.0,33.0,16.0
428,9-May-11,3.94,6147450.0,35.0,17.0
429,11-May-11,6.07,6166800.0,37.0,18.0
430,13-May-11,8.45,6185050.0,40.0,17.0
431,15-May-11,8.55,6208850.0,42.0,21.0
432,17-May-11,8.39,6233050.0,44.0,21.0
433,19-May-11,7.34,6256250.0,48.0,18.0
434,21-May-11,6.6,6278100.0,51.0,21.0
435,23-May-11,7.45,6304650.0,55.0,32.0
436,25-May-11,7.51,6334000.0,59.0,31.0
437,27-May-11,8.92,6359800.0,63.0,34.0
438,29-May-11,8.5,6376200.0,65.0,41.0
439,31-May-11,9.5,6391350.0,68.0,39.0
440,2-Jun-11,10.57,6409750.0,73.0,51.0
441,4-Jun-11,17.41,6430700.0,80.0,57.0
442,6-Jun-11,19.23,6453600.0,86.0,48.0
443,8-Jun-11,31.91,6471200.0,94.0,49.0
444,10-Jun-11,35.0,6493100.0,103.0,50.0
445,12-Jun-11,24.99,6516600.0,111.0,64.0
446,14-Jun-11,20.99,6540100.0,121.0,52.0
447,16-Jun-11,19.96,6564250.0,131.0,39.0
448,18-Jun-11,17.2,6583350.0,140.0,44.0
449,20-Jun-11,17.35,6605900.0,148.0,63.0
450,22-Jun-11,15.05,6630950.0,155.0,71.0
451,24-Jun-11,16.75,6654850.0,163.0,57.0
452,26-Jun-11,17.51,6670150.0,171.0,52.0
453,28-Jun-11,17.52,6685800.0,180.0,49.0
454,30-Jun-11,17.5,6703700.0,188.0,56.0
455,2-Jul-11,16.49,6721450.0,196.0,69.0
456,4-Jul-11,15.85,6737650.0,202.0,53.0
457,6-Jul-11,16.5,6753000.0,209.0,66.0
458,8-Jul-11,15.64,6767150.0,216.0,52.0
459,10-Jul-11,15.68,6782250.0,222.0,53.0
460,12-Jul-11,14.64,6796900.0,229.0,53.0
461,14-Jul-11,14.1,6813750.0,235.0,60.0
462,16-Jul-11,14.1,6829750.0,241.0,55.0
463,18-Jul-11,13.69,6845850.0,248.0,55.0
464,20-Jul-11,14.04,6861200.0,255.0,60.0
465,22-Jul-11,13.94,6876100.0,261.0,46.0
466,24-Jul-11,13.98,6892150.0,267.0,46.0
467,26-Jul-11,14.4,6908450.0,274.0,44.0
468,28-Jul-11,14.0,6925800.0,280.0,59.0
469,30-Jul-11,13.8,6941450.0,285.0,62.0
470,1-Aug-11,13.55,6958600.0,291.0,57.0
471,3-Aug-11,13.1,6973900.0,297.0,55.0
472,5-Aug-11,11.55,6987450.0,303.0,50.0
473,7-Aug-11,9.8,7000100.0,308.0,51.0
474,9-Aug-11,12.1,7013200.0,314.0,61.0
475,11-Aug-11,10.5,7028250.0,320.0,68.0
476,13-Aug-11,10.05,7041500.0,325.0,47.0
477,15-Aug-11,11.89,7054800.0,331.0,49.0
478,17-Aug-11,11.3,7068000.0,337.0,45.0
479,19-Aug-11,11.81,7082650.0,343.0,55.0
480,21-Aug-11,11.59,7097150.0,349.0,48.0
481,23-Aug-11,11.49,7114450.0,355.0,47.0
482,25-Aug-11,10.97,7127400.0,361.0,50.0
483,27-Aug-11,9.11,7141650.0,367.0,56.0
484,29-Aug-11,9.48,7153600.0,372.0,44.0
485,31-Aug-11,9.0,7168900.0,377.0,47.0
486,2-Sep-11,8.5,7183350.0,382.0,48.0
487,4-Sep-11,8.59,7196750.0,389.0,51.0
488,6-Sep-11,7.66,7211950.0,395.0,45.0
489,8-Sep-11,7.32,7225550.0,400.0,48.0
490,10-Sep-11,6.21,7239700.0,406.0,40.0
491,12-Sep-11,7.08,7253100.0,411.0,50.0
492,14-Sep-11,5.99,7267500.0,415.0,51.0
493,16-Sep-11,5.23,7281200.0,419.0,54.0
494,18-Sep-11,5.0,7295700.0,423.0,43.0
495,20-Sep-11,6.8,7308750.0,428.0,39.0
496,22-Sep-11,5.83,7323650.0,433.0,44.0
497,24-Sep-11,5.66,7336550.0,437.0,42.0
498,26-Sep-11,5.46,7350500.0,441.0,41.0
499,28-Sep-11,4.99,7363950.0,445.0,48.0
